title,author,description,image_url,url,category_id,published
OPPO Find N5 dự kiến ​​sẽ được trang bị công nghệ bản lề hợp kim titan in 3D,Hải Anh,"OPPO Find N5 sắp ra mắt, được đồn đoán sẽ là flagship của năm với bản lề titanium in 3D siêu mỏng, độ bền cao, cùng cấu hình mạnh mẽ Snapdragon 8 Elite, sạc không dây và ColorOS 15. Theo leaker Ice Universe, OPPO Find N5 sẽ có lợi thế",https://cdn-media.sforum.vn/storage/app/media/haianh/oppo-find-n5-ban-le-hop-kim-titan-3d-thumb.jpg,https://cellphones.com.vn/sforum/oppo-find-n5-ban-le-hop-kim-titan-3d,news,17/01/2025 06:47:58
"Lộ diện tần số của Snapdragon 8s Elite - Quái vật vi xử lý ""tí hon"" mạnh mẽ",Hải Anh,"Chip Snapdragon 8s Elite lộ diện với tần số ấn tượng, hứa hẹn hiệu năng mạnh mẽ trên các smartphone sắp ra mắt. Xiaomi, REDMI, OPPO, iQOO và Honor đều xác nhận sử dụng trong tương lai. Snapdragon 8s Elite có vẻ là một ""quái vật tí hon"" - như",https://cdn-media.sforum.vn/storage/app/media/haianh/lo-tan-so-snapdragon-8s-elite-2.jpg,https://cellphones.com.vn/sforum/lo-tan-so-snapdragon-8s-elite,news,17/01/2025 06:37:42
"Apple phát hành iOS 18.3 và iPadOS 18.3 bản beta 3, bạn đã cập nhật chưa?",Hải Nam,"iOS 18.3 và iPadOS 18.3 beta 3 dường như chỉ tập trung vào sửa các lỗi còn tồn đọng và cải thiện hiệu suất trên các mẫu iPhone cũ. Hôm nay, Apple đã tung ra bản beta thứ ba của các bản cập nhật iOS 18.3 và iPadOS 18.3 sắp",https://cdn-media.sforum.vn/storage/app/media/trannghia/Apple-phat-hanh-iOS-18-3.jpg,https://cellphones.com.vn/sforum/apple-phat-hanh-ios-18-3-beta-3,news,17/01/2025 06:26:19
Nintendo Switch 2 ra mắt và mời game thủ đến chơi thử,Bookgrinder,"Sau vô vàn đồn đại và dự đoán, cuối cùng thì Nintendo đã chính thức công bố chiếc máy Switch 2 bằng một trailer khoe rõ từng khía cạnh của chiếc máy này. Chỉ mới vài giờ trước đây, kênh YouTube chính thức của Nintendo đã công bố trailer cho",https://cdn-media.sforum.vn/storage/app/media/bookgrinder/nintendo-switch-2-1.jpg,https://cellphones.com.vn/sforum/nintendo-chinh-thuc-cong-bo-switch-2,news,16/01/2025 21:51:22
"OPPO Pad 3 phiên bản màn hình nhám ra mắt: Tích hợp AI, tối ưu hóa hiệu suất làm việc và giải trí",Hải Nam,OPPO mới đây vừa chính thức giới thiệu dòng máy tính bảng OPPO Pad 3 phiên bản màn hình nhám - sự kết hợp giữa các tính năng AI tiên tiến cùng màn hình chống phản sáng với độ bền vượt trội. Đây là lựa chọn hoàn hảo cho những,https://cdn-media.sforum.vn/storage/app/media/trannghia/OPPO-Pad-3-phien-ban-man-hinh-nham-ra-mat-5.jpg,https://cellphones.com.vn/sforum/oppo-pad-3-phien-ban-man-hinh-nham-ra-mat,news,16/01/2025 20:44:32
Màn hình AOC Gaming 25G4S ra mắt: Sự lựa chọn tối ưu dành cho game thủ FPS trong phân khúc tầm trung,Hải Nam,"AOC , thương hiệu màn hình hàng đầu được vinh danh #1 Gaming Monitor bởi IDC trong 3 năm gần đây, vừa thông báo mở bán dòng màn AOC Gaming 25G4S tại thị trường Việt Nam. Đây là một siêu phẩm dành riêng cho game thủ đam mê thể loại",https://cdn-media.sforum.vn/storage/app/media/trannghia/AOC-Gaming-25G4S-02-ra-mat-6.jpg,https://cellphones.com.vn/sforum/man-hinh-aoc-gaming-25g4s-ra-mat,news,16/01/2025 20:44:09
"Insta360 Flow 2 Pro ra mắt: Theo dõi chủ thể Deep Track 4.0 và Active Zoom Tracking, giá từ 4.05 triệu đồng",Hải Nam,"Insta360 Flow 2 Pro ra mắt với nhiều tính năng thú vị như Apple DockKit mở rộng, Deep Track 4.0 hoàn toàn mới và Active Zoom Tracking và Multi-Person Tracking. Insta360 vừa ra mắt một mẫu gimbal điện thoại thông minh mới, có tên gọi là Insta360 Flow 2 Pro.",https://cdn-media.sforum.vn/storage/app/media/trannghia/Insta360-Flow-2-Pro-ra-mat-1.jpg,https://cellphones.com.vn/sforum/insta360-flow-2-pro-ra-mat,news,17/01/2025 14:54:03
"Hé lộ thông tin chipset của Samsung Galaxy Tab Active5 Pro, Tab S10 FE và Tab S10 FE Plus",Hải Nam,"Thông tin rò rỉ mới vừa tiết lộ cho chúng ta những thông tin khá thú vị về chipset bộ ba máy tính bảng sắp tới của Samsung là Galaxy Tab Active5 Pro, Tab S10 FE và Tab S10 FE sắp ra mắt. Theo một số báo cáo trước đây",https://cdn-media.sforum.vn/storage/app/media/trannghia/thong-tin-chipset-Galaxy-Tab-S10-FE.jpg,https://cellphones.com.vn/sforum/he-lo-thong-tin-chipset-galaxy-tab-s10-fe,news,17/01/2025 11:46:25
"So sánh kích thước 4 mẫu Galaxy S25, Galaxy S25 Plus, Galaxy S25 Slim và Galaxy S25 Ultra sắp ra mắt",Hải Nam,Rò rỉ mới vừa mang đến cho chúng ta cái nhìn chi tiết nhất về kích thước thân máy của 4 mẫu Galaxy S25 dự kiến sẽ sớm ra mắt trong thời gian tới. Samsung sẽ phát hành 4 phiên bản Galaxy S25 vào nửa đầu năm 2025. Công ty,https://cdn-media.sforum.vn/storage/app/media/trannghia/kich-thuoc-Galaxy-S25-Series-1.jpg,https://cellphones.com.vn/sforum/so-sanh-kich-thuoc-4-mau-galaxy-s25,news,17/01/2025 11:45:56
Microsoft chính thức tích hợp trợ lý AI (Copilot) – Hành trình định hình tương lai công nghệ,Hải Nam,"Hôm nay (17/1), Microsoft chính thức công bố một bước tiến vượt bậc trong lĩnh vực công nghệ với việc tích hợp trợ lý AI (Copilot) trong các gói Microsoft 365 Family và Microsoft 365 Personal. Đây không chỉ là cột mốc quan trọng đối với Microsoft, mà còn là",https://cdn-media.sforum.vn/storage/app/media/trannghia/Microsoft-tich-hop-tro-ly-AI-cover.jpg,https://cellphones.com.vn/sforum/microsoft-tich-hop-tro-ly-ai-copilot,news,17/01/2025 11:44:54
Galaxy S26 sẽ sử dụng pin silicon-carbon với dung lượng cực khủng?,Hải Nam,"Dòng Galaxy S26 dự kiến ra mắt vào đầu năm sau sẽ sử dụng công nghệ pin silicon-carbon, hứa hẹn mang đến dung lượng cực khủng cho người dùng. Các nhà sản xuất điện thoại đã sử dụng pin lithium-ion (Li-ion) trong nhiều thập kỷ. Tuy nhiên, theo một tin",https://cdn-media.sforum.vn/storage/app/media/trannghia/Galaxy-S26-co-cong-nghe-pin-moi.jpg,https://cellphones.com.vn/sforum/galaxy-s26-se-su-dung-pin-silicon-carbon,news,17/01/2025 09:34:01
